Date, WU_422, WV_423,WU_mean,WV_mean,WU_anom,WV_anom
9/18/16 0:00,12.17387,-0.8834841,-1.086525,-1.376469,13.260395,0.4929849
9/19/16 0:00,8.956472,1.8918957,-1.126202,-1.522967,10.082674,3.4148627
9/20/16 0:00,-2.1656141,0.749985,-1.242179,-1.040745,-0.9234351,1.79073
9/21/16 0:00,1.5084572,1.7653164,-1.535175,-0.827102,3.0436322,2.5924184
9/22/16 0:00,2.639184,2.2599201,-1.922783,-0.744697,4.561967,3.0046171
9/23/16 0:00,1.8726517,1.998835,-2.176102,-1.730505,4.0487537,3.72934
9/24/16 0:00,4.353787,2.7442684,-2.069281,-1.880055,6.423068,4.6243234
9/25/16 0:00,6.5316877,5.1826134,-1.635892,-1.883107,8.1675797,7.0657204
9/26/16 0:00,5.888869,-0.72839284,-1.248283,-2.408057,7.137152,1.67966416
9/27/16 0:00,-0.24908447,5.9160705,-1.291012,-2.716313,1.04192753,8.6323835
9/28/16 0:00,-5.3409967,9.575987,-1.846482,-1.15367,-3.4945147,10.729657
9/29/16 0:00,7.423173,5.0643387,-2.597283,-0.2655272,10.020456,5.3298659
9/30/16 0:00,2.7900822,8.136826,-3.16191,-0.8850907,5.9519922,9.0219167
10/1/16 0:00,-5.983042,4.3404007,-3.28094,-1.840378,-2.702102,6.1807787
10/2/16 0:00,-10.582409,-0.22261047,-3.024569,-0.8698305,-7.55784,0.64722003
10/3/16 0:00,-1.458437,1.3733139,-2.649168,-1.284908,1.190731,2.6582219
10/4/16 0:00,2.5097523,0.7183384,-2.392797,-2.591179,4.9025493,3.3095174
10/5/16 0:00,1.2446613,1.0846004,-2.246299,-2.679688,3.4909603,3.7642884
10/6/16 0:00,-3.2287254,1.0678331,-1.99298,-2.768198,-1.2357454,3.8360311
10/7/16 0:00,-8.492514,0.31364846,-1.547383,-1.867847,-6.945131,2.18149546
10/8/16 0:00,-10.192698,1.6461506,-1.233023,-1.00412,-8.959675,2.6502706
10/9/16 0:00,-9.551404,1.9888706,-1.309324,-1.080421,-8.24208,3.0692916
10/10/16 0:00,-2.9242954,6.0154305,-1.66336,-1.236075,-1.2609354,7.2515055
10/11/16 0:00,-10.607601,0.88407516,-2.139478,-1.135358,-8.468123,2.01943316
10/12/16 0:00,-11.280796,0.9325447,-2.578971,-0.8362581,-8.701825,1.7688028
10/13/16 0:00,-10.035269,0.26912093,-2.917747,0.1098733,-7.117522,0.15924763
10/14/16 0:00,-11.064941,0.89760447,-2.98184,0.6195635,-8.083101,0.27804097
