[3J[H[2Jtime, , AT_21, WU_422, WV_423, depth, latitude, longitude
, , AIR TEMPERATURE (C), WIND U (M/S)             , WIND V (M/S)             , , , 
time, , C, m s-1, m s-1, m, degree_north, degree_west
2018-05-18 00:00:00, , -2.8788147, -4.314184, 0.6560954, 10.0, 71.21263, 164.4151
2018-05-19 00:00:00, , -2.7561035, -7.247867, -0.42709923, 10.0, 71.21263, 164.4151
2018-05-20 00:00:00, , -2.907013, -6.957557, -2.3713245, 10.0, 71.21263, 164.4151
2018-05-21 00:00:00, , -2.1485596, -6.0789456, -4.0678663, 10.0, 71.21263, 164.4151
2018-05-22 00:00:00, , -1.7518616, -6.052083, -4.6406803, 10.0, 71.21263, 164.4151
2018-05-23 00:00:00, , -1.476593, -7.513631, -3.6161566, 10.0, 71.21263, 164.4151
2018-05-24 00:00:00, , -1.2987366, -6.5235653, -1.6984321, 10.0, 71.21263, 164.4151
2018-05-25 00:00:00, , -1.6356812, -6.592945, -2.498361, 10.0, 71.21263, 164.4151
2018-05-26 00:00:00, , -1.897644, -6.6954107, -3.2546756, 10.0, 71.21263, 164.4151
2018-05-27 00:00:00, , -1.914917, -8.330729, -2.025937, 10.0, 71.21263, 164.4151
2018-05-28 00:00:00, , -1.6523132, -5.753907, 1.2135677, 10.0, 71.21263, 164.4151
2018-05-29 00:00:00, , -1.7588806, -4.711237, -0.07568383, 10.0, 71.21263, 164.4151
2018-05-30 00:00:00, , -1.5035706, -6.3094306, -1.4342437, 10.0, 71.21263, 164.4151
2018-05-31 00:00:00, , -1.7408142, -4.29393, -0.43165815, 10.0, 71.21263, 164.4151
2018-06-01 00:00:00, , -2.3380432, -0.5359335, 1.7008302, 10.0, 71.21263, 164.4151
2018-06-02 00:00:00, , -0.7092285, -2.259039, 3.1188831, 10.0, 71.21263, 164.4151
2018-06-03 00:00:00, , -0.3833313, -5.927484, 1.2014465, 10.0, 71.21263, 164.4151
2018-06-04 00:00:00, , -0.51379395, -6.2464743, -2.0789914, 10.0, 71.21263, 164.4151
2018-06-05 00:00:00, , -0.40493774, -2.8525028, -3.9834137, 10.0, 71.21263, 164.4151
2018-06-06 00:00:00, , -0.045959473, -2.129026, -4.25397, 10.0, 71.21263, 164.4151
2018-06-07 00:00:00, , -0.14520264, -5.5856595, -4.967231, 10.0, 71.21263, 164.4151
2018-06-08 00:00:00, , -0.89779663, -6.028042, -4.1790147, 10.0, 71.21263, 164.4151
2018-06-09 00:00:00, , -0.73379517, 5.148443, -1.4173162, 10.0, 71.21263, 164.4151
2018-06-10 00:00:00, , -0.35928345, 6.200229, -3.1697998, 10.0, 71.21263, 164.4151
2018-06-11 00:00:00, , -0.20480347, 3.467784, -1.5484962, 10.0, 71.21263, 164.4151
2018-06-12 00:00:00, , 0.15435791, 3.2370253, -0.9198576, 10.0, 71.21263, 164.4151
2018-06-13 00:00:00, , -0.8284607, 1.5897784, -1.1256386, 10.0, 71.21263, 164.4151
2018-06-14 00:00:00, , -0.4199829, 1.3320142, -2.526083, 10.0, 71.21263, 164.4151
2018-06-15 00:00:00, , -0.004638672, 2.303708, -3.2738152, 10.0, 71.21263, 164.4151
2018-06-16 00:00:00, , -0.2609558, 0.632926, -3.4118538, 10.0, 71.21263, 164.4151
2018-06-17 00:00:00, , -1.5108643, 0.17635846, -1.6465013, 10.0, 71.21263, 164.4151
2018-06-18 00:00:00, , -0.5661316, 0.3763399, -1.4314069, 10.0, 71.21263, 164.4151
2018-06-19 00:00:00, , -0.990448, 0.08921325, -2.4837997, 10.0, 71.21263, 164.4151
2018-06-20 00:00:00, , -1.2550964, -0.23568726, -2.0548007, 10.0, 71.21263, 164.4151
2018-06-21 00:00:00, , -0.7052307, 1.0381149, 0.06875551, 10.0, 71.21263, 164.4151
2018-06-22 00:00:00, , -0.11956787, -0.6516545, -1.6220404, 10.0, 71.21263, 164.4151
2018-06-23 00:00:00, , 0.22546387, -1.5038939, -0.43228364, 10.0, 71.21263, 164.4151
2018-06-24 00:00:00, , 0.9659729, 0.84874797, 3.6484344, 10.0, 71.21263, 164.4151
